algorithm,scenario_index,nDevices,nGateways,radius,simulationTime,appPeriod,payloadSize,best_solution,mean_solution,worst_solution,std_solution,mean_time
CS,400,100,1,7500,3600,60,10,0.7686537702329254,0.743884325660088,0.7304347826086957,0.0141343870299556,11159.917720651629
CS,401,100,1,7500,3600,60,20,0.7849794238683128,0.7336430969421199,0.7079545454545455,0.0268336461167234,10766.429184532166
CS,402,100,1,7500,3600,60,30,0.7105763141228626,0.7058642278016173,0.7013873596124202,0.0029798264675888,10500.475084543228
CS,403,100,1,7500,3600,60,40,0.7270557604686483,0.7069107695934743,0.690888638920135,0.0122455683145545,10307.859731388093
CS,404,100,1,7500,3600,60,50,0.7098280098280099,0.6936871002244914,0.6841142857142857,0.0088150659772273,10041.497537612917
CS,405,100,1,7500,3600,300,10,0.8475,0.8321666666666665,0.8083333333333333,0.0160952028740104,5780.911136054992
CS,406,100,1,7500,3600,300,20,0.8358333333333333,0.8140000000000001,0.7983333333333333,0.0146761333085008,5691.551172685623
CS,407,100,1,7500,3600,300,30,0.82,0.8055,0.79,0.0119443152447792,5674.109279823303
CS,408,100,1,7500,3600,300,40,0.8108333333333333,0.8016666666666665,0.7941666666666667,0.0053748384988656,5665.068316841125
CS,409,100,1,7500,3600,300,50,0.8316666666666667,0.8025,0.7891666666666667,0.0154110350074224,5661.4855370521545
CS,410,100,1,7500,3600,600,10,0.93,0.8383333333333333,0.81,0.0459710053548248,4926.017208194733
CS,411,100,1,7500,3600,600,20,0.8866666666666667,0.866,0.8333333333333334,0.020237478982214,4924.468166255951
CS,412,100,1,7500,3600,600,30,0.8466666666666667,0.819,0.8066666666666666,0.0157621205567158,4902.50431303978
CS,413,100,1,7500,3600,600,40,0.8683333333333333,0.8306666666666667,0.8183333333333334,0.0191949067318506,4889.266905736923
CS,414,100,1,7500,3600,600,50,0.8633333333333333,0.8316666666666667,0.8083333333333333,0.0205480466765632,4854.715690088272
CS,415,100,1,7500,3600,900,10,0.8375,0.8240000000000001,0.8175,0.0071763500472036,4606.6802718162535
CS,416,100,1,7500,3600,900,20,0.9575,0.8755000000000001,0.81,0.0567318252835214,4603.154120445252
CS,417,100,1,7500,3600,900,30,0.925,0.8450000000000001,0.8075,0.0412007281489053,4603.747733449936
CS,418,100,1,7500,3600,900,40,0.8575,0.8324999999999999,0.8175,0.0133229125944742,4602.474126386643
CS,419,100,1,7500,3600,900,50,0.8575,0.8390000000000001,0.82,0.0139283882771841,4603.754913902283
CS,420,200,1,7500,3600,60,10,0.6896854854463762,0.6805347337383242,0.670816827013771,0.0067195571982927,30419.89996829033
CS,421,200,1,7500,3600,60,20,0.6667004973104638,0.654608790318133,0.6440798136331409,0.0082445985778046,29241.323758363724
CS,422,200,1,7500,3600,60,30,0.6632244467860906,0.6489096266154604,0.6336,0.0114737594452979,28345.023496198653
CS,423,200,1,7500,3600,60,40,0.6422736555479919,0.631304552734361,0.6215500560138507,0.0071577191003843,27683.94429154396
CS,424,200,1,7500,3600,60,50,0.6306569343065693,0.6144885565343827,0.6066534260178749,0.0084419864566028,26712.018615055084
CS,425,200,1,7500,3600,300,10,0.79,0.7785833333333333,0.7691666666666667,0.0067474274933323,9800.313110685349
CS,426,200,1,7500,3600,300,20,0.7745833333333333,0.7673333333333332,0.7575,0.0057106138996706,9801.108208560943
CS,427,200,1,7500,3600,300,30,0.7625,0.7551666666666668,0.7483333333333333,0.0055063095122272,9796.50154504776
CS,428,200,1,7500,3600,300,40,0.7629166666666667,0.7500833333333334,0.7375,0.0097089592072934,9787.01171875
CS,429,200,1,7500,3600,300,50,0.7558333333333334,0.7445833333333333,0.7366666666666667,0.0074349026743984,9787.869643068314
CS,430,200,1,7500,3600,600,10,0.8375,0.8036666666666668,0.7891666666666667,0.0189414301935671,6923.222420787812
